KEY,DESCRIPTION,en,zh,hi,es,fr,ar,bn,pt,ru,id,ur,de,ja,sw,mr,te,ta,tr,vi,it,ko,gu,fa,pl,uk,ro,nl,sv,da,no,fi,he,th,my,km,lo,ka,hy,az,kk,ky,uz,tg,mn,bo,ne,si,ml,kn,pa,or,as,dv,ps,sd,ks,cs,sk,sl,hr,sr,bs,mk,bg,sq,el,mt,cy,ga,gd,gv,br,co,ca,gl,eu,is,fo,lb,li,fy,af,et,lv,lt,ha,yo,ig,ff,am,om,ti,so,zu,xh,st,tn,ss,nr,nd,ve,ts,sn,ny,rw,rn,lg,mg,wo,ms,tl,jv,su,qu,gn,ay,sm,to,ty,mi,fj,bi,eo,ia,ie,io,vo,la,cu,pi,sa,aa,ab,ae,ak,an,av,ba,be,bh,bi.1,bm,bo.1,ce,ch,cr,cv,dz,ee,eo.1,es.1,et.1,eu.1,fa.1,ff.1,fi.1,fj.1,fo.1,fy.1,ga.1,gd.1,gl.1,gn.1,gu.1,gv.1,ha.1,he.1,hi.1,ho,hr.1,ht,hu,hz,ia.1,id.1,ie.1,ig.1,ii,ik,io.1,is.1,it.1,iu,jv.1,kg,ki,kj,kl,km.1,kn.1,kr,ks.1,ku,kv,kw,la.1,lb.1,lg.1,li.1,ln,lo.1,lt.1,lu,lv.1,mh,mi.1,mk.1,mn.1,ms.1,mt.1,my.1,na,nb,nd.1,ne.1,ng,nn,nr.1,nv,ny.1,oc,oj,om.1,or.1,os,pa.1,pi.1,pl.1,ps.1,pt.1,qu.1,rm,rn.1,ro.1,ru.1,rw.1,sa.1,sc,sd.1,se,sg,si.1,sk.1,sl.1,sm.1,sn.1,so.1,sq.1,sr.1,ss.1,st.1,su.1,sv.1,sw.1,ta.1,te.1,tg.1,th.1,ti.1,tk,tl.1,tn.1,to.1,tr.1,ts.1,tt,tw,ty.1,ug,uk.1,ur.1,uz.1,ve.1,vi.1,vo.1,wa,wo.1,xh.1,yi,yo.1,za,zu.1
tabs.browse,Tab label for Browse section,Browse,浏览,ब्राउज़ करें,Explorar,Parcourir,تصفح,ব্রাউজ করুন,Navegar,Просмотр,Jelajahi,براؤز کریں,Durchsuchen,閲覧,Vinjari,ब्राउज़ करें,వెతకండి,உலாவு,Gözat,Duyệt,D sfogliare,둘러보기,બ્રાઉઝ કરો,مرور,Przeglądaj,Переглядати,Răsfoi,Bladeren,Bläddra,Bladre,,,,,,,,დათვალიერება,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tabs.settings,Tab label for Settings section,Settings,设置,सेटिंग्स,Configuración,Paramètres,إعدادات,সেটিংস,Configurações,Настройки,Pengaturan,سیٹنگز,Einstellungen,設定,Mipangilio,सेटिंग्स,సెట్టింగ్స్,அமைப்புகள்,Ayarlar,Cài đặt,Impostazioni,설정,સેટિંગ્સ,تنظیمات,Ustawienia,Налаштування,Setări,Instellingen,Inställningar,Indstillinger,,,,,,,,პარამეტრები,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tabs.courses,Tab label for Courses section,Courses,课程,पाठ्यक्रम,Cursos,Cours,دورات,কোর্স,Cursos,Курсы,Kursus,کورس,Kurse,コース,Kozi,अभ्यासक्रम,కోర్సులు,பாடநெறிகள்,Kurslar,Khóa học,Corsi,코스,અભ્યાસક્રમો,دوره‌ها,Kursy,Курси,Cursuri,Cursussen,Kurser,Kurser,,,,,,,,კურსები,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courses.title,Courses section title,Languages,语言,भाषाएं,Idiomas,Langues,اللغات,ভাষা,Idiomas,Языки,Bahasa,زبانیں,Sprachen,言語,Lugha,भाषा,భాషలు,மொழிகள்,Diller,Ngôn ngữ,Lingue,언어,ભાષાઓ,زبان‌ها,Języki,Мови,Limbi,Talen,Språk,Sprog,,,,,,,,ენები,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courses.subtitle,Courses section subtitle,Choose a language to start learning,选择一种语言开始学习,सीखना शुरू करने के लिए एक भाषा चुनें,Elige un idioma para empezar a aprender,Choisissez une langue pour commencer à apprendre,اختر لغة للبدء في التعلم,শেখা শুরু করতে একটি ভাষা বেছে নিন,Escolha um idioma para começar a aprender,Выберите язык для начала изучения,Pilih bahasa untuk mulai belajar,سیکھنا شروع کرنے کے لیے ایک زبان منتخب کریں,Wähle eine Sprache zum Lernen,学習を始める言語を選択してください,Chagua lugha ya kuanza kujifunza,शिकण्यासाठी एक भाषा निवडा,నేర్చుకోవడానికి ఒక భాషను ఎంచుకోండి,கற்றுக்கொள்ள ஒரு மொழியைத் தேர்ந்தெடுக்கவும்,Öğrenmeye başlamak için bir dil seçin,Chọn một ngôn ngữ để bắt đầu học,Seleziona una lingua per iniziare ad imparare,학습을 시작할 언어를 선택하세요,શીખવાનું શરૂ કરવા માટે એક ભાષા પસંદ કરો,یادگیری را شروع کنید,Wybierz język, aby rozpocząć naukę,Виберіть мову для початку навчання,Alege o limbă pentru a începe să înveți,Kies een taal om te beginnen met leren,Välj ett språk för att börja lära, vælg et sprog for at begynde at lære,,,,,,,,შეარჩიეთ ენა სწავლის დასაწყებად,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library.title,Library section title,My Library,我的图书馆,मेरी लाइब्रेरी,Mi Biblioteca,Ma Bibliothèque,مكتبتي,আমার লাইব্রেরি,Minha Biblioteca,Моя Библиотека,Perpustakaanku,میری لائبریری,Meine Bibliothek,私の図書館,Maktaba Yangu,मेरी लाइब्रेरी,నా గ్రంథాలయం,என் நூலகம்,Kütüphanem,Thư Viện Của Tôi,La Mia Biblioteca,내 도서관,મારું પુસ્તકાલય,کتابخانه من,Moja Biblioteka,Моя Бібліотека,Biblioteca Mea,Mijn Bibliotheek,Min Bibliotek,Min Bibliotek,,,,,,,,ჩემი ბიბლიოთეკა,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library.subtitle,Library section subtitle,Your saved courses and progress,您保存的课程和进度,आपके सहेजे गए पाठ्यक्रम और प्रगति,Tus cursos guardados y progreso,Vos cours sauvegardés et progrès,دوراتك المحفوظة والتقدم,আপনার সংরক্ষিত কোর্স এবং অগ্রগতি,Seus cursos salvos e progresso,Ваши сохраненные курсы и прогресс,Kursus tersimpan dan kemajuan,آپ کے محفوظ کورسز اور ترقی,Deine gespeicherten Kurse und Fortschritte,保存されたコースと進捗,Kozi zilizohifadhiwa na maendeleo,तुमचे सेव्ह केलेले अभ्यासक्रम आणि प्रगती,మీ సేవ్ చేసిన కోర్సులు మరియు పురోగతి,உங்கள் சேமிக்கப்பட்ட பாடநெறிகள் மற்றும் முன்னேற்றம்,Kayıtlı kurslarınız ve ilerleme,Khóa học đã lưu và tiến độ,I tuoi corsi salvati e i progressi,저장된 코스와 진행률,તમા સેવ કરેલા અભ્યાસક્રમો અને પ્રગતિ,دوره‌های ذخیره شده و پیشرفت شما,Twoje zapisane kursy i postęp,Ваші збережені курси та прогрес,Cursurile tale salvate și progresul,Jouw opgeslagen cursussen en voortgang,Dina sparade kurser och framsteg,Dine gemte kurser og fremskridt,,,,,,,,თქვენი შენახული კურსები და პროგრესი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library.courses,Label for courses count,Courses,课程,पाठ्यक्रम,Cursos,Cours,دورات,কোর্স,Cursos,Курсы,Kursus,کورس,Kurse,コース,Kozi,अभ्यासक्रम,కోర్సులు,பாடநெறிகள்,Kurslar,Khóa học,Corsi,코스,અભ્યાસક્રમો,دوره‌ها,Kursy,Курси,Cursuri,Cursussen,Kurser,Kurser,,,,,,,,კურსები,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library.completed,Label for completed levels,Completed,已完成,पूर्ण,Completado,Terminé,مكتمل,সম্পূর্ণ,Concluído,Завершено,Selesai,مکمل,Abgeschlossen,完了,Imekamilika,पूर्ण,పూర్తయింది,முடிந்தது,Tamamlandı,Hoàn thành,Completato,완료,પૂર્ણ,تکمیل شده,Zakończone,Завершено,Completat,Voltooid,Slutförd,Afsluttet,,,,,,,,დასრულებული,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library.words,Label for words learned,Words,单词,शब्द,Palabras,Mots,كلمات,শব্দ,Palavras,Слова,Kata,الفاظ,Wörter,言葉,Maneno,शब्द,పదాలు,வார்த்தைகள்,Kelime,Từ,Parole,단어,શબ્દો,کلمات,Słowa,Слова,Cuvinte,Woorden,Ord,Ord,,,,,,,,სიტყვები,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library.quick_actions,Title for quick actions section,Quick Access,快速访问,त्वरित पहुंच,Acceso Rápido,Accès Rapide,وصول سريع,দ্রুত অ্যাক্সেস,Acesso Rápido,Быстрый доступ,Akses Cepat,فوری رسائی,Schnellzugriff,クイックアクセス,Upatikan wa Haraka,त्वरित प्रवेश,త్వరిత ప్రవేశ,விரைவு அணுகல்,Hızlı Erişim,Truy Cập Nhanh,Accesso Rapido,빠른 액세스,ઝડપી પ્રવેશ,دسترسی سریع,Szybki Dostęp,Швидкий доступ,Acces Rapid,Sneltoegang,Snabb Åtkomst,Hurtig Adgang,,,,,,,,სწრაფი წვდომა,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library.alphabet,Label for alphabet button,Alphabet,字母,वर्णमाला,Alfabeto,Alphabet,أبجد,বর্ণমালা,Alfabeto,Алфавит,Abjad,حروف تہجی,Alphabet,アルファベット,Alfabeti,वर्णमाला,అక్షరమాల,அகரவரிசை,Alfabe,Bảng chữ cái,Alfabeto,알파벳,આલ્ફાબેટ,الفبای,Alfabet,Абетка,Alfabet,Alfabet,Alfabet,Alfabet,,,,,,,,ალფავიტიანი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library.alphabet_desc,Description for alphabet button,Learn the alphabet,学习字母,वर्णमाला सीखें,Aprender el alfabeto,Apprendre l'alphabet,تعلم الأبجدية,বর্ণমালা শিখুন,Aprender o alfabeto,Изучить алфавит,Belajar alfabet,حروف تہجی سیکھیں,Das Alphabet lernen,アルファベットを学ぶ,Jifunze alfabeti,वर्णमाला शिका,అక్షరమాల నేర్చుకోండి,அகரவரிசையைக் கற்றுக்கொள்ளுங்கள்,Alfabeyi öğren,Học bảng chữ cái,Impara l'alfabeto,알파벳 배우기,આલ્ફાબેટ શીખો,الفبا یاد بگیرید,Naucz się alfabetu,Вивчити абетку,Învață alfabetul,Leer het alfabet,Lär dig alfabetet,Lær alfabetet,,,,,,,,ალფავიტის სწავლა,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
